brand,age,km_class,price
Audi,0.0,100-150tkm,
Audi,0.0,150-200tkm,
Audi,0.0,200-250tkm,
Audi,0.0,250-300tkm,
Audi,0.0,yli300tkm,
Audi,1.0,0-50tkm,47695.0
Audi,1.0,50-100tkm,39800.0
Audi,1.0,100-150tkm,34885.0
Audi,1.0,150-200tkm,30900.0
Audi,1.0,200-250tkm,
Audi,1.0,250-300tkm,
Audi,1.0,yli300tkm,
Audi,2.0,0-50tkm,41885.0
Audi,2.0,50-100tkm,39745.0
Audi,2.0,100-150tkm,33650.0
Audi,2.0,150-200tkm,28600.0
Audi,2.0,200-250tkm,
Audi,2.0,250-300tkm,
Audi,2.0,yli300tkm,
Audi,3.0,0-50tkm,36340.0
Audi,3.0,50-100tkm,33590.0
Audi,3.0,100-150tkm,32490.0
Audi,3.0,150-200tkm,30800.0
Audi,3.0,200-250tkm,22490.0
Audi,3.0,250-300tkm,
Audi,3.0,yli300tkm,
Audi,4.0,0-50tkm,35185.0
Audi,4.0,50-100tkm,31600.0
Audi,4.0,100-150tkm,29690.0
Audi,4.0,150-200tkm,27880.0
Audi,4.0,200-250tkm,26795.0
Audi,4.0,250-300tkm,38700.0
Audi,4.0,yli300tkm,
Audi,5.0,0-50tkm,21335.0
Audi,5.0,50-100tkm,25900.0
Audi,5.0,100-150tkm,27890.0
Audi,5.0,150-200tkm,24775.0
Audi,5.0,200-250tkm,25290.0
Audi,5.0,250-300tkm,
Audi,5.0,yli300tkm,
Audi,6.0,0-50tkm,17800.0
Audi,6.0,50-100tkm,21645.0
Audi,6.0,100-150tkm,23950.0
Audi,6.0,150-200tkm,18890.0
Audi,6.0,200-250tkm,21895.0
Audi,6.0,250-300tkm,16490.0
Audi,6.0,yli300tkm,
Audi,7.0,0-50tkm,17850.0
Audi,7.0,50-100tkm,18230.0
Audi,7.0,100-150tkm,19790.0
Audi,7.0,150-200tkm,18390.0
Audi,7.0,200-250tkm,19900.0
Audi,7.0,250-300tkm,16920.0
Audi,7.0,yli300tkm,
Audi,8.0,0-50tkm,55425.0
Audi,8.0,50-100tkm,18990.0
Audi,8.0,100-150tkm,17900.0
Audi,8.0,150-200tkm,18900.0
Audi,8.0,200-250tkm,16690.0
Audi,8.0,250-300tkm,14770.0
Audi,8.0,yli300tkm,19640.0
Audi,9.0,0-50tkm,17790.0
Audi,9.0,50-100tkm,22450.0
Audi,9.0,100-150tkm,15900.0
Audi,9.0,150-200tkm,15590.0
Audi,9.0,200-250tkm,14800.0
Audi,9.0,250-300tkm,13800.0
Audi,9.0,yli300tkm,12950.0
Audi,10.0,0-50tkm,
Audi,10.0,50-100tkm,22800.0
Audi,10.0,100-150tkm,15895.0
Audi,10.0,150-200tkm,13595.0
Audi,10.0,200-250tkm,12880.0
Audi,10.0,250-300tkm,12590.0
Audi,10.0,yli300tkm,12800.0
Audi,11.0,0-50tkm,
Audi,11.0,50-100tkm,14145.0
Audi,11.0,100-150tkm,12850.0
Audi,11.0,150-200tkm,13625.0
Audi,11.0,200-250tkm,11220.0
Audi,11.0,250-300tkm,10490.0
Audi,11.0,yli300tkm,10470.0
Audi,12.0,0-50tkm,
Audi,12.0,50-100tkm,11900.0
Audi,12.0,100-150tkm,10195.0
Audi,12.0,150-200tkm,12295.0
Audi,12.0,200-250tkm,11900.0
Audi,12.0,250-300tkm,10700.0
Audi,12.0,yli300tkm,9240.0
Audi,13.0,0-50tkm,
Audi,13.0,50-100tkm,12890.0
Audi,13.0,100-150tkm,9190.0
Audi,13.0,150-200tkm,15190.0
Audi,13.0,200-250tkm,11390.0
Audi,13.0,250-300tkm,9800.0
Audi,13.0,yli300tkm,9095.0
Audi,14.0,0-50tkm,
Audi,14.0,50-100tkm,114800.0
Audi,14.0,100-150tkm,21690.0
Audi,14.0,150-200tkm,12400.0
Audi,14.0,200-250tkm,9420.0
Audi,14.0,250-300tkm,8620.0
Audi,14.0,yli300tkm,5990.0
Audi,15.0,0-50tkm,
Audi,15.0,50-100tkm,
Audi,15.0,100-150tkm,11280.0
Audi,15.0,150-200tkm,11270.0
Audi,15.0,200-250tkm,10800.0
Audi,15.0,250-300tkm,9790.0
Audi,15.0,yli300tkm,8890.0
Audi,16.0,0-50tkm,71800.0
Audi,16.0,50-100tkm,38790.0
Audi,16.0,100-150tkm,10770.0
Audi,16.0,150-200tkm,8290.0
Audi,16.0,200-250tkm,7880.0
Audi,16.0,250-300tkm,6740.0
Audi,16.0,yli300tkm,4560.0
Audi,17.0,0-50tkm,
Audi,17.0,50-100tkm,62800.0
Audi,17.0,100-150tkm,7560.0
Audi,17.0,150-200tkm,10700.0
Audi,17.0,200-250tkm,7990.0
Audi,17.0,250-300tkm,11490.0
Audi,17.0,yli300tkm,4485.0
Audi,18.0,0-50tkm,
Audi,18.0,50-100tkm,
Audi,18.0,100-150tkm,
Audi,18.0,150-200tkm,11990.0
Audi,18.0,200-250tkm,
Audi,18.0,250-300tkm,5360.0
Audi,18.0,yli300tkm,5990.0
Audi,19.0,0-50tkm,
Audi,19.0,50-100tkm,
Audi,19.0,100-150tkm,6690.0
Audi,19.0,150-200tkm,9800.0
Audi,19.0,200-250tkm,5900.0
Audi,19.0,250-300tkm,3200.0
Audi,19.0,yli300tkm,3895.0
Audi,20.0,0-50tkm,
Audi,20.0,50-100tkm,
Audi,20.0,100-150tkm,7980.0
Audi,20.0,150-200tkm,
Audi,20.0,200-250tkm,
Audi,20.0,250-300tkm,9900.0
Audi,20.0,yli300tkm,2490.0
BMW,0.0,0-50tkm,57900.0
BMW,0.0,50-100tkm,48990.0
BMW,0.0,100-150tkm,45900.0
BMW,0.0,150-200tkm,
BMW,0.0,200-250tkm,
BMW,0.0,250-300tkm,
BMW,0.0,yli300tkm,
BMW,1.0,0-50tkm,49845.0
BMW,1.0,50-100tkm,41900.0
BMW,1.0,100-150tkm,33800.0
BMW,1.0,150-200tkm,32990.0
BMW,1.0,200-250tkm,
BMW,1.0,250-300tkm,
BMW,1.0,yli300tkm,
BMW,2.0,0-50tkm,41890.0
BMW,2.0,50-100tkm,38400.0
BMW,2.0,100-150tkm,32825.0
BMW,2.0,150-200tkm,25465.0
BMW,2.0,200-250tkm,24650.0
BMW,2.0,250-300tkm,22750.0
BMW,2.0,yli300tkm,
BMW,3.0,0-50tkm,34450.0
BMW,3.0,50-100tkm,32390.0
BMW,3.0,100-150tkm,29890.0
BMW,3.0,150-200tkm,23900.0
BMW,3.0,200-250tkm,20980.0
BMW,3.0,250-300tkm,
BMW,3.0,yli300tkm,
BMW,4.0,0-50tkm,31880.0
BMW,4.0,50-100tkm,28990.0
BMW,4.0,100-150tkm,30180.0
BMW,4.0,150-200tkm,22900.0
BMW,4.0,200-250tkm,19980.0
BMW,4.0,250-300tkm,20870.0
BMW,4.0,yli300tkm,
BMW,5.0,0-50tkm,26850.0
BMW,5.0,50-100tkm,23790.0
BMW,5.0,100-150tkm,24090.0
BMW,5.0,150-200tkm,22945.0
BMW,5.0,200-250tkm,21345.0
BMW,5.0,250-300tkm,19950.0
BMW,5.0,yli300tkm,
BMW,6.0,0-50tkm,21900.0
BMW,6.0,50-100tkm,21900.0
BMW,6.0,100-150tkm,23600.0
BMW,6.0,150-200tkm,21945.0
BMW,6.0,200-250tkm,17900.0
BMW,6.0,250-300tkm,23335.0
BMW,6.0,yli300tkm,
BMW,7.0,0-50tkm,20800.0
BMW,7.0,50-100tkm,20200.0
BMW,7.0,100-150tkm,20795.0
BMW,7.0,150-200tkm,21490.0
BMW,7.0,200-250tkm,17780.0
BMW,7.0,250-300tkm,13965.0
BMW,7.0,yli300tkm,12480.0
BMW,8.0,0-50tkm,32575.0
BMW,8.0,50-100tkm,20835.0
BMW,8.0,100-150tkm,20145.0
BMW,8.0,150-200tkm,17330.0
BMW,8.0,200-250tkm,15590.0
BMW,8.0,250-300tkm,14390.0
BMW,8.0,yli300tkm,13200.0
BMW,9.0,0-50tkm,67980.0
BMW,9.0,50-100tkm,19990.0
BMW,9.0,100-150tkm,18900.0
BMW,9.0,150-200tkm,19800.0
BMW,9.0,200-250tkm,15200.0
BMW,9.0,250-300tkm,18400.0
BMW,9.0,yli300tkm,11890.0
BMW,10.0,0-50tkm,15900.0
BMW,10.0,50-100tkm,33900.0
BMW,10.0,100-150tkm,16500.0
BMW,10.0,150-200tkm,15190.0
BMW,10.0,200-250tkm,13800.0
BMW,10.0,250-300tkm,15540.0
BMW,10.0,yli300tkm,11250.0
BMW,11.0,0-50tkm,
BMW,11.0,50-100tkm,
BMW,11.0,100-150tkm,15100.0
BMW,11.0,150-200tkm,14590.0
BMW,11.0,200-250tkm,12845.0
BMW,11.0,250-300tkm,11735.0
BMW,11.0,yli300tkm,11375.0
BMW,12.0,0-50tkm,79580.0
BMW,12.0,50-100tkm,33850.0
BMW,12.0,100-150tkm,15400.0
BMW,12.0,150-200tkm,12900.0
BMW,12.0,200-250tkm,14900.0
BMW,12.0,250-300tkm,10940.0
BMW,12.0,yli300tkm,11240.0
BMW,13.0,0-50tkm,
BMW,13.0,50-100tkm,42900.0
BMW,13.0,100-150tkm,17890.0
BMW,13.0,150-200tkm,14050.0
BMW,13.0,200-250tkm,12500.0
BMW,13.0,250-300tkm,11685.0
BMW,13.0,yli300tkm,9880.0
BMW,14.0,0-50tkm,
BMW,14.0,50-100tkm,17380.0
BMW,14.0,100-150tkm,14850.0
BMW,14.0,150-200tkm,11930.0
BMW,14.0,200-250tkm,8880.0
BMW,14.0,250-300tkm,8695.0
BMW,14.0,yli300tkm,9645.0
BMW,15.0,0-50tkm,
BMW,15.0,50-100tkm,25900.0
BMW,15.0,100-150tkm,24870.0
BMW,15.0,150-200tkm,11695.0
BMW,15.0,200-250tkm,8990.0
BMW,15.0,250-300tkm,10750.0
BMW,15.0,yli300tkm,7395.0
BMW,16.0,0-50tkm,
BMW,16.0,50-100tkm,19900.0
BMW,16.0,100-150tkm,11790.0
BMW,16.0,150-200tkm,9635.0
BMW,16.0,200-250tkm,12850.0
BMW,16.0,250-300tkm,8990.0
BMW,16.0,yli300tkm,6990.0
BMW,17.0,0-50tkm,
BMW,17.0,50-100tkm,39900.0
BMW,17.0,100-150tkm,18190.0
BMW,17.0,150-200tkm,8800.0
BMW,17.0,200-250tkm,7850.0
BMW,17.0,250-300tkm,6635.0
